tipo,f1,f2
nsga2,0.675040,0.999689
nsga2,0.865317,0.989402
nsga2,0.675040,0.999689
nsga2,0.865317,0.989402
nsga2,0.757249,0.999668
nsga2,0.678727,0.999669
nsga2,0.838069,0.994214
nsga2,0.805000,0.996747
nsga2,0.812143,0.996734
nsga2,0.849180,0.992475
nsga2,0.852884,0.991954
nsga2,0.852884,0.991954
nsga2,0.799444,0.997613
nsga2,0.845476,0.992585
nsga2,0.841243,0.993609
nsga2,0.844947,0.993025
nsga2,0.844947,0.993025
nsga2,0.841772,0.993605
nsga2,0.856058,0.991450
nsga2,0.862143,0.989844
nsga2,0.803148,0.997138
nsga2,0.803148,0.997138
nsga2,0.817698,0.996019
nsga2,0.815847,0.996360
nsga2,0.856058,0.991450
nsga2,0.856587,0.991022
nsga2,0.861614,0.990266
nsga2,0.788333,0.997891
nsga2,0.787804,0.998208
nsga2,0.776693,0.998763
nsga2,0.828810,0.994929
nsga2,0.826958,0.995226
nsga2,0.832513,0.994687
nsga2,0.834365,0.994412
nsga2,0.815847,0.996360
nsga2,0.862143,0.989844
nsga2,0.760026,0.999595
nsga2,0.821402,0.995689
nsga2,0.817698,0.996019
nsga2,0.768360,0.998980
nsga2,0.765582,0.999251
nsga2,0.780397,0.998548
nsga2,0.776693,0.998763
nsga2,0.760952,0.999299
nsga2,0.823254,0.995512
nsga2,0.826958,0.995226
nsga2,0.784101,0.998363
nsga2,0.780397,0.998548
nsga2,0.821402,0.995689
nsga2,0.823254,0.995512
nsga2,0.838069,0.994214
nsga2,0.771138,0.998974
nsga2,0.858439,0.990732
nsga2,0.784101,0.998363
nsga2,0.859762,0.990543
nsga2,0.832513,0.994687
nsga2,0.828810,0.994929
nsga2,0.792037,0.997769
nsga2,0.856587,0.991022
nsga2,0.849180,0.992475
nsga2,0.771138,0.998974
nsga2,0.861614,0.990266
nsga2,0.834365,0.994412
nsga2,0.795741,0.997676
nsga2,0.792037,0.997769
nsga2,0.859762,0.990543
nsga2,0.858439,0.990732
nsga2,0.799444,0.997613
nsga2,0.795741,0.997676
nsga2,0.812143,0.996734
nsga2,0.765582,0.999251
nsga2,0.787804,0.998208
nsga2,0.841772,0.993605
nsga2,0.841243,0.993609
nsga2,0.762804,0.999291
nsga2,0.768360,0.998980
nsga2,0.757249,0.999668
nsga2,0.788333,0.997891
nsga2,0.762804,0.999291
nsga2,0.845476,0.992585
nsga2,0.760026,0.999595
nsga2,0.805000,0.996747
nsga2,0.675949,0.999680
nsga2,0.677818,0.999673
nsga2,0.760952,0.999299
nsga2,0.677818,0.999673
nsga2,0.675949,0.999680
nsga2,0.675318,0.999687
nsga2,0.675672,0.999682
nsga2,0.678096,0.999672
nsga2,0.678449,0.999670
nsga2,0.675672,0.999682
nsga2,0.675318,0.999687
nsga2,0.678449,0.999670
nsga2,0.678096,0.999672
nsga2,0.678727,0.999669
nsga2,0.675040,0.999689
nsga2,0.865317,0.989402
nsga2,0.852884,0.991954
nsga2,0.844947,0.993025
nsga2,0.803148,0.997138
nsga2,0.856058,0.991450
nsga2,0.815847,0.996360
nsga2,0.862143,0.989844
nsga2,0.817698,0.996019
nsga2,0.776693,0.998763
nsga2,0.826958,0.995226
nsga2,0.780397,0.998548
nsga2,0.821402,0.995689
nsga2,0.823254,0.995512
nsga2,0.838069,0.994214
nsga2,0.784101,0.998363
nsga2,0.832513,0.994687
nsga2,0.828810,0.994929
nsga2,0.856587,0.991022
nsga2,0.849180,0.992475
nsga2,0.771138,0.998974
nsga2,0.861614,0.990266
nsga2,0.834365,0.994412
nsga2,0.792037,0.997769
nsga2,0.859762,0.990543
nsga2,0.858439,0.990732
nsga2,0.799444,0.997613
nsga2,0.795741,0.997676
nsga2,0.812143,0.996734
nsga2,0.765582,0.999251
nsga2,0.787804,0.998208
nsga2,0.841772,0.993605
nsga2,0.841243,0.993609
nsga2,0.768360,0.998980
nsga2,0.757249,0.999668
nsga2,0.788333,0.997891
nsga2,0.762804,0.999291
nsga2,0.845476,0.992585
nsga2,0.760026,0.999595
nsga2,0.805000,0.996747
nsga2,0.760952,0.999299
nsga2,0.677818,0.999673
nsga2,0.675949,0.999680
nsga2,0.675672,0.999682
nsga2,0.675318,0.999687
nsga2,0.678449,0.999670
nsga2,0.678096,0.999672
nsga2,0.678727,0.999669
nsga2,0.675040,0.999689
nsga2,0.865317,0.989402
nsga2,0.852884,0.991954
nsga2,0.844947,0.993025
nsga2,0.803148,0.997138
nsga2,0.856058,0.991450
greedy,0.705809,0.967413
