tipo,f1,f2
nsga2,0.653436,0.999654
nsga2,0.772725,0.993277
nsga2,0.653436,0.999654
nsga2,0.772725,0.993277
nsga2,0.677674,0.999390
nsga2,0.720341,0.999362
nsga2,0.662749,0.999649
nsga2,0.769375,0.994281
nsga2,0.769114,0.994534
nsga2,0.771598,0.993465
nsga2,0.771336,0.993717
nsga2,0.766429,0.995045
nsga2,0.766336,0.995262
nsga2,0.770503,0.994088
nsga2,0.770595,0.993888
nsga2,0.765949,0.995287
nsga2,0.769762,0.994259
nsga2,0.770949,0.993738
nsga2,0.730307,0.999112
nsga2,0.663613,0.999638
nsga2,0.748995,0.998009
nsga2,0.740899,0.998615
nsga2,0.765595,0.995440
nsga2,0.761799,0.996119
nsga2,0.768727,0.994557
nsga2,0.768373,0.994708
nsga2,0.770116,0.994109
nsga2,0.763373,0.995879
nsga2,0.772338,0.993296
nsga2,0.771984,0.993445
nsga2,0.738529,0.998749
nsga2,0.765209,0.995465
nsga2,0.666141,0.999627
nsga2,0.748979,0.998104
nsga2,0.739010,0.998667
nsga2,0.745053,0.998325
nsga2,0.667993,0.999595
nsga2,0.726682,0.999239
nsga2,0.755873,0.997214
nsga2,0.770595,0.993888
nsga2,0.762262,0.996078
nsga2,0.755132,0.997357
nsga2,0.732915,0.998977
nsga2,0.750847,0.997888
nsga2,0.734751,0.998954
nsga2,0.741677,0.998533
nsga2,0.758095,0.996851
nsga2,0.731127,0.999047
nsga2,0.755291,0.997253
nsga2,0.767987,0.994731
nsga2,0.753280,0.997615
nsga2,0.764114,0.995698
nsga2,0.737344,0.998806
nsga2,0.767632,0.994832
nsga2,0.751587,0.997739
nsga2,0.757709,0.996882
nsga2,0.757354,0.996991
nsga2,0.732529,0.999028
nsga2,0.761135,0.996239
nsga2,0.752540,0.997687
nsga2,0.764854,0.995569
nsga2,0.750106,0.997989
nsga2,0.759190,0.996605
nsga2,0.721730,0.999321
nsga2,0.746640,0.998233
nsga2,0.767725,0.994808
nsga2,0.671170,0.999536
nsga2,0.744312,0.998410
nsga2,0.762910,0.995919
nsga2,0.721267,0.999354
nsga2,0.676417,0.999435
nsga2,0.763727,0.995724
nsga2,0.761521,0.996211
nsga2,0.753651,0.997521
nsga2,0.767050,0.994902
nsga2,0.735138,0.998904
nsga2,0.762632,0.996011
nsga2,0.672776,0.999513
nsga2,0.766984,0.994983
nsga2,0.674191,0.999487
nsga2,0.668132,0.999576
nsga2,0.666141,0.999627
nsga2,0.758558,0.996706
nsga2,0.669565,0.999569
nsga2,0.671170,0.999536
nsga2,0.760317,0.996439
nsga2,0.758558,0.996706
nsga2,0.728825,0.999160
nsga2,0.675117,0.999452
nsga2,0.737529,0.998756
nsga2,0.742788,0.998496
nsga2,0.746534,0.998276
nsga2,0.751217,0.997817
nsga2,0.672776,0.999513
nsga2,0.728905,0.999138
nsga2,0.747275,0.998194
nsga2,0.754762,0.997374
nsga2,0.754392,0.997451
nsga2,0.758466,0.996782
nsga2,0.723384,0.999293
nsga2,0.760688,0.996371
nsga2,0.763651,0.995788
nsga2,0.677674,0.999390
nsga2,0.760780,0.996295
nsga2,0.748344,0.998141
nsga2,0.735862,0.998901
nsga2,0.724566,0.999286
nsga2,0.669565,0.999569
nsga2,0.740010,0.998663
nsga2,0.753280,0.997615
nsga2,0.723384,0.999293
nsga2,0.752540,0.997687
nsga2,0.751217,0.997817
nsga2,0.743677,0.998453
nsga2,0.725598,0.999255
nsga2,0.754392,0.997451
nsga2,0.754021,0.997519
nsga2,0.748344,0.998141
nsga2,0.747275,0.998194
nsga2,0.736751,0.998845
nsga2,0.756243,0.997148
nsga2,0.736751,0.998845
nsga2,0.756614,0.997082
nsga2,0.756243,0.997148
nsga2,0.759577,0.996575
nsga2,0.742788,0.998496
nsga2,0.764484,0.995633
nsga2,0.764484,0.995633
nsga2,0.750460,0.997925
nsga2,0.759653,0.996511
nsga2,0.760024,0.996443
nsga2,0.676417,0.999435
nsga2,0.727714,0.999212
nsga2,0.727793,0.999184
nsga2,0.764854,0.995569
nsga2,0.744312,0.998410
nsga2,0.762632,0.996011
nsga2,0.740121,0.998624
nsga2,0.745423,0.998304
nsga2,0.756968,0.997023
nsga2,0.741677,0.998533
nsga2,0.756614,0.997082
nsga2,0.763651,0.995788
nsga2,0.720341,0.999362
nsga2,0.743677,0.998453
nsga2,0.674191,0.999487
nsga2,0.758466,0.996782
nsga2,0.767050,0.994902
nsga2,0.760688,0.996371
nsga2,0.759653,0.996511
greedy,0.737958,0.947800
