tipo,f1,f2
nsga2,0.713461,0.991176
nsga2,0.666666,0.997711
nsga2,0.713461,0.991176
nsga2,0.666666,0.997711
nsga2,0.709016,0.992892
nsga2,0.709294,0.992255
nsga2,0.711730,0.991522
nsga2,0.686942,0.996417
nsga2,0.705313,0.993870
nsga2,0.678939,0.997043
nsga2,0.673408,0.997422
nsga2,0.699333,0.995160
nsga2,0.701866,0.994790
nsga2,0.706496,0.993569
nsga2,0.708553,0.993027
nsga2,0.681318,0.996877
nsga2,0.686426,0.996454
nsga2,0.667856,0.997687
nsga2,0.669444,0.997584
nsga2,0.694387,0.995720
nsga2,0.688193,0.996346
nsga2,0.692415,0.995946
nsga2,0.692011,0.995971
nsga2,0.674520,0.997375
nsga2,0.675466,0.997267
nsga2,0.676577,0.997225
nsga2,0.668412,0.997645
nsga2,0.677457,0.997117
nsga2,0.680122,0.996954
nsga2,0.672258,0.997494
nsga2,0.706033,0.993687
nsga2,0.690352,0.996137
nsga2,0.683006,0.996789
nsga2,0.680122,0.996954
nsga2,0.691053,0.996029
nsga2,0.695107,0.995604
nsga2,0.710477,0.991944
nsga2,0.696000,0.995574
nsga2,0.683641,0.996726
nsga2,0.697422,0.995361
nsga2,0.672449,0.997428
nsga2,0.684900,0.996608
nsga2,0.703276,0.994290
nsga2,0.706979,0.993296
nsga2,0.684900,0.996608
nsga2,0.712535,0.991418
nsga2,0.709757,0.992120
nsga2,0.711403,0.991697
nsga2,0.698440,0.995184
nsga2,0.706033,0.993687
nsga2,0.693117,0.995842
nsga2,0.710477,0.991944
nsga2,0.696720,0.995460
nsga2,0.685672,0.996558
nsga2,0.697422,0.995361
nsga2,0.683641,0.996726
nsga2,0.700035,0.995066
nsga2,0.702913,0.994443
nsga2,0.693117,0.995842
nsga2,0.669338,0.997634
nsga2,0.703255,0.994426
nsga2,0.700755,0.994957
nsga2,0.704971,0.993886
nsga2,0.706959,0.993432
nsga2,0.681709,0.996857
nsga2,0.708674,0.992905
nsga2,0.709415,0.992133
nsga2,0.696720,0.995460
nsga2,0.711061,0.991709
nsga2,0.713119,0.991186
nsga2,0.700035,0.995066
nsga2,0.693837,0.995723
nsga2,0.701218,0.994854
nsga2,0.703924,0.994228
nsga2,0.689376,0.996183
nsga2,0.670925,0.997536
nsga2,0.670777,0.997538
nsga2,0.702792,0.994566
nsga2,0.707627,0.993240
nsga2,0.704850,0.994008
nsga2,0.678535,0.997079
nsga2,0.702329,0.994688
nsga2,0.710940,0.991830
nsga2,0.712998,0.991307
nsga2,0.704387,0.994128
nsga2,0.708090,0.993143
nsga2,0.674520,0.997375
nsga2,0.688895,0.996236
nsga2,0.675466,0.997267
nsga2,0.700755,0.994957
nsga2,0.706617,0.993447
nsga2,0.712535,0.991418
nsga2,0.688193,0.996346
nsga2,0.702329,0.994688
nsga2,0.698222,0.995227
nsga2,0.704387,0.994128
nsga2,0.676577,0.997225
nsga2,0.708090,0.993143
nsga2,0.677457,0.997117
nsga2,0.709294,0.992255
greedy,0.737958,0.947800
