tipo,f1,f2
nsga2,0.688239,0.998817
nsga2,0.742947,0.991856
nsga2,0.688239,0.998817
nsga2,0.742947,0.991856
nsga2,0.741095,0.992676
nsga2,0.741188,0.992222
nsga2,0.735540,0.994229
nsga2,0.728873,0.995731
nsga2,0.735910,0.993847
nsga2,0.727132,0.995809
nsga2,0.715262,0.997383
nsga2,0.733318,0.994735
nsga2,0.734725,0.994267
nsga2,0.699997,0.998333
nsga2,0.725466,0.996180
nsga2,0.738799,0.993140
nsga2,0.742132,0.991882
nsga2,0.690641,0.998774
nsga2,0.719336,0.996919
nsga2,0.739614,0.993109
nsga2,0.722669,0.996589
nsga2,0.734058,0.994679
nsga2,0.736299,0.993728
nsga2,0.731558,0.995291
nsga2,0.713845,0.997436
nsga2,0.731855,0.995094
nsga2,0.737410,0.993499
nsga2,0.737114,0.993692
nsga2,0.740281,0.992704
nsga2,0.706758,0.997963
nsga2,0.723614,0.996497
nsga2,0.729429,0.995485
nsga2,0.719984,0.996779
nsga2,0.730725,0.995433
nsga2,0.709286,0.997758
nsga2,0.695412,0.998601
nsga2,0.710212,0.997695
nsga2,0.718873,0.997047
nsga2,0.716836,0.997182
nsga2,0.705508,0.998002
nsga2,0.710582,0.997653
nsga2,0.724058,0.996472
nsga2,0.696497,0.998491
nsga2,0.712734,0.997557
nsga2,0.726744,0.996006
nsga2,0.702017,0.998223
nsga2,0.734429,0.994461
nsga2,0.703424,0.998183
nsga2,0.699023,0.998414
nsga2,0.739984,0.992896
nsga2,0.721114,0.996718
nsga2,0.707202,0.997923
nsga2,0.731188,0.995317
nsga2,0.708841,0.997797
nsga2,0.716003,0.997330
nsga2,0.734429,0.994461
nsga2,0.732669,0.995052
nsga2,0.739984,0.992896
nsga2,0.738225,0.993466
nsga2,0.689901,0.998790
nsga2,0.738503,0.993332
nsga2,0.697682,0.998436
nsga2,0.741836,0.992072
nsga2,0.726281,0.996126
nsga2,0.704350,0.998108
nsga2,0.704350,0.998108
nsga2,0.692791,0.998710
nsga2,0.732947,0.994915
nsga2,0.727114,0.995976
nsga2,0.701044,0.998300
nsga2,0.717762,0.997132
nsga2,0.712734,0.997557
nsga2,0.724892,0.996318
nsga2,0.711647,0.997616
nsga2,0.713845,0.997436
nsga2,0.696497,0.998491
nsga2,0.692050,0.998723
nsga2,0.717762,0.997132
nsga2,0.694111,0.998632
nsga2,0.729336,0.995612
nsga2,0.705508,0.998002
nsga2,0.724447,0.996343
nsga2,0.732947,0.994915
nsga2,0.722063,0.996612
nsga2,0.708841,0.997797
nsga2,0.707202,0.997923
nsga2,0.721114,0.996718
nsga2,0.741558,0.992204
nsga2,0.711647,0.997616
nsga2,0.697682,0.998436
nsga2,0.738503,0.993332
nsga2,0.741836,0.992072
nsga2,0.695412,0.998601
nsga2,0.719540,0.996808
nsga2,0.735910,0.993847
nsga2,0.693235,0.998657
nsga2,0.702017,0.998223
nsga2,0.716003,0.997330
nsga2,0.703424,0.998183
nsga2,0.701044,0.998300
greedy,0.737958,0.947800
