tipo,f1,f2
nsga2,0.735372,0.990278
nsga2,0.671256,0.999000
nsga2,0.671256,0.999000
nsga2,0.735372,0.990278
nsga2,0.730789,0.991951
nsga2,0.694887,0.998191
nsga2,0.730742,0.992293
nsga2,0.702105,0.997519
nsga2,0.733567,0.990784
nsga2,0.733520,0.991126
nsga2,0.728679,0.992922
nsga2,0.723652,0.994162
nsga2,0.682901,0.998685
nsga2,0.720022,0.994785
nsga2,0.680632,0.998754
nsga2,0.715782,0.995685
nsga2,0.732171,0.991555
nsga2,0.725927,0.993689
nsga2,0.703454,0.997466
nsga2,0.677498,0.998880
nsga2,0.723189,0.994244
nsga2,0.710855,0.996578
nsga2,0.713242,0.996154
nsga2,0.699486,0.997816
nsga2,0.704221,0.997319
nsga2,0.731668,0.991617
nsga2,0.711337,0.996361
nsga2,0.709250,0.996757
nsga2,0.684781,0.998617
nsga2,0.713633,0.996008
nsga2,0.705123,0.997162
nsga2,0.718097,0.995221
nsga2,0.695412,0.998089
nsga2,0.703471,0.997345
nsga2,0.727085,0.993373
nsga2,0.724075,0.994035
nsga2,0.730578,0.992311
nsga2,0.720874,0.994692
nsga2,0.709909,0.996587
nsga2,0.733355,0.991143
nsga2,0.733732,0.990768
nsga2,0.734843,0.990448
nsga2,0.735207,0.990294
nsga2,0.678820,0.998859
nsga2,0.706993,0.997117
nsga2,0.727356,0.993301
nsga2,0.734096,0.990613
nsga2,0.701708,0.997614
nsga2,0.718097,0.995221
nsga2,0.687468,0.998528
nsga2,0.707522,0.997030
nsga2,0.705041,0.997271
nsga2,0.696753,0.997985
nsga2,0.674740,0.998932
nsga2,0.686030,0.998603
nsga2,0.726662,0.993498
nsga2,0.730213,0.992468
nsga2,0.689707,0.998422
nsga2,0.729790,0.992590
nsga2,0.724975,0.993905
nsga2,0.707985,0.996933
nsga2,0.681675,0.998751
nsga2,0.709374,0.996621
nsga2,0.725988,0.993575
nsga2,0.719023,0.995057
nsga2,0.714466,0.995899
nsga2,0.729790,0.992590
nsga2,0.724975,0.993905
nsga2,0.700239,0.997677
nsga2,0.734096,0.990613
nsga2,0.721298,0.994562
nsga2,0.729208,0.992745
nsga2,0.725504,0.993815
nsga2,0.727773,0.993162
nsga2,0.731318,0.991777
nsga2,0.719023,0.995057
nsga2,0.676043,0.998927
nsga2,0.693776,0.998261
nsga2,0.700693,0.997624
nsga2,0.716483,0.995509
nsga2,0.728197,0.993038
nsga2,0.698388,0.997899
nsga2,0.697850,0.997939
nsga2,0.689501,0.998462
nsga2,0.724075,0.994035
nsga2,0.711318,0.996484
nsga2,0.693776,0.998261
nsga2,0.699486,0.997816
nsga2,0.706213,0.997153
nsga2,0.679726,0.998798
nsga2,0.719948,0.994881
nsga2,0.727773,0.993162
nsga2,0.730789,0.991951
nsga2,0.690675,0.998407
nsga2,0.717409,0.995328
nsga2,0.717171,0.995415
nsga2,0.684475,0.998655
nsga2,0.673508,0.998983
nsga2,0.716483,0.995509
nsga2,0.707985,0.996933
nsga2,0.732594,0.991435
nsga2,0.732991,0.991298
nsga2,0.708818,0.996817
nsga2,0.687120,0.998555
nsga2,0.728197,0.993038
nsga2,0.672454,0.998993
nsga2,0.708818,0.996817
nsga2,0.691679,0.998359
nsga2,0.714506,0.995810
nsga2,0.730213,0.992468
nsga2,0.691679,0.998359
nsga2,0.688411,0.998505
nsga2,0.688411,0.998505
nsga2,0.734678,0.990464
nsga2,0.728890,0.992794
nsga2,0.681675,0.998751
nsga2,0.722197,0.994425
nsga2,0.679726,0.998798
nsga2,0.695941,0.998080
nsga2,0.683430,0.998662
nsga2,0.715855,0.995606
nsga2,0.721800,0.994520
nsga2,0.714929,0.995790
nsga2,0.713242,0.996154
nsga2,0.686030,0.998603
nsga2,0.713633,0.996008
nsga2,0.712178,0.996263
nsga2,0.722726,0.994332
nsga2,0.674575,0.998946
nsga2,0.707139,0.997042
nsga2,0.722726,0.994332
nsga2,0.698388,0.997899
nsga2,0.673508,0.998983
nsga2,0.676969,0.998909
nsga2,0.700239,0.997677
nsga2,0.719321,0.994988
nsga2,0.732594,0.991435
nsga2,0.690675,0.998407
nsga2,0.720874,0.994692
nsga2,0.731477,0.991745
nsga2,0.672454,0.998993
nsga2,0.692870,0.998295
nsga2,0.692585,0.998322
nsga2,0.712178,0.996263
nsga2,0.725504,0.993815
nsga2,0.719321,0.994988
nsga2,0.722197,0.994425
nsga2,0.711800,0.996268
nsga2,0.678820,0.998859
nsga2,0.732826,0.991315
greedy,0.737958,0.947800
